Team ID,Team Name,Domain of Problem Statements,Problem Statement
Team_1012,Code Pirates,AI and Generative AI,AI Chatbot for College FAQs
Team_1017,XenoY,AI and Generative AI,AI Chatbot for College FAQs
Team_1129,Dynamo,Industry Specifics (HR, FMCG, etc.),AI-Driven Recruitment Bot for HR
Team_1128,CodePendant,Industry Specifics (HR, FMCG, etc.),AI-Driven Recruitment Bot for HR
Team_1185,Team Rocket,Industry Specifics (HR, FMCG, etc.),AI-Powered Content Generator for Social Media
Team_1083,WINDOWS 12,Fitness Tracker,AI-Powered Fitness Coach for Real-Time Feedback on Workout Form
Team_1067,Bean Bag Coders,AI and Generative AI,Customer Sentiment Analysis Tool
Team_1068,Synapse,AI and Generative AI,Customer Sentiment Analysis Tool
Team_1259,Semi-Colonizers,Mental Health,Generative AI-Based Therapist Assistant
Team_1252,Rajma Chawal,IoT-Driven Air Quality Monitoring System,IoT-Driven Air Quality Monitoring System
Team_1217,Codigo Maestro,Mental Health,Mental Health Resources Chatbot
Team_1223,CODING COCOONS,Mental Health,Mindfulness Activity Tracker
Team_1224,Console,Mental Health,Mood Tracker Dashboard
Team_1236,Team Abacus,Mental Health,Stress Level Analysis Tool
Team_1244,Shanti Space,Mental Health,Stress Level Analysis Tool
Team_1180,100xDevSquad,Industry Specifics (HR, FMCG, etc.),Task Management App for Manufacturing Teams
